accession	tax_id	description	scientific_name	last_updated	base_count	first_public
AB669893	137078	Drosophila truncata Adh gene for alcohol dehydrogenase, partial cds, strain: RGN10 D225.	Drosophila truncata	2014-01-02	830	2014-01-02
AY102239	7243	Drosophila teissieri strain uz31 jingwei (jgw) gene, adh-derived region, partial cds.	Drosophila teissieri	2005-04-16	724	2002-06-20
KJ767241	7240	Drosophila simulans strain 14021-0251.167 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila simulans	2014-10-29	868	2014-09-04
U76482	7231	Drosophila mulleri strain -1371.19 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	Drosophila mulleri	2005-04-18	902	1997-03-06
AY695386	133981	Drosophila cardini alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	Drosophila cardini	2006-11-14	1133	2006-08-01
AY154850	7263	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	Drosophila arizonae	2005-04-16	878	2003-03-03
AY154861	7263	Drosophila arizonae strain ARTU 34 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	Drosophila arizonae	2005-04-16	880	2003-03-03
AB669842	114631	Drosophila greeni Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0712.00.	Drosophila greeni	2014-01-02	830	2014-01-02
AY044122	157053	Drosophila annulipes alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	Drosophila annulipes	2006-11-14	722	2002-08-06
AY044126	7291	Drosophila albomicans alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	Drosophila albomicans	2006-11-14	725	2002-08-06
LC057198	29030	Drosophila takahashii Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0311.06.	Drosophila takahashii	2019-06-04	830	2019-06-04
M17831	7227	D.melanogaster (strain Fl-2S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	Drosophila melanogaster	2006-11-14	2726	1991-07-01
M17834	7227	D.melanogaster (strain Fr-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	Drosophila melanogaster	2006-11-14	2769	1991-07-01
AB669862	61426	Drosophila diplacantha Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0586.00.	Drosophila diplacantha	2014-01-02	829	2014-01-02
AB932670	95624	Drosophila quinaria Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701-1.	Drosophila quinaria	2014-10-26	851	2014-10-26
AY154847	7263	Drosophila arizonae strain AR00 1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	Drosophila arizonae	2005-04-16	878	2003-03-03
AY154855	7263	Drosophila arizonae strain AR00 6 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	Drosophila arizonae	2005-04-16	880	2003-03-03
AY154860	7263	Drosophila arizonae strain ARTU 24 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	Drosophila arizonae	2005-04-16	880	2003-03-03
M17837	7227	D.melanogaster (strain Ja-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	Drosophila melanogaster	2006-11-14	7242	1991-07-01
M60990	46244	Drosophila pseudoobscura bogotana strain BOG 3389.1 alcohol dehydrogenase (adh) gene, complete cds.	Drosophila pseudoobscura bogotana	2006-11-14	3472	1992-04-30
AY154869	7230	Drosophila mojavensis strain MJBC 80 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	Drosophila mojavensis	2005-04-16	880	2003-03-03
AB932668	133991	Drosophila polymorpha Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2231.00.	Drosophila polymorpha	2014-10-26	833	2014-10-26
DQ471609	381457	Drosophila cf. cheda BCW-2006 strain 241 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila cf. cheda BCW-2006	2006-07-20	711	2006-07-20
AF067282	77129	Drosophila helvetica alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	Drosophila helvetica	2006-11-14	437	1998-07-02
AY154857	7263	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	Drosophila arizonae	2005-04-16	880	2003-03-03
AB669885	137072	Drosophila kanapiae Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0541.00.	Drosophila kanapiae	2014-01-02	838	2014-01-02
AF045115	30047	Drosophila sturtevanti strain 14043-0871.2 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	Drosophila sturtevanti	2006-11-14	405	1998-06-02
AY165517	40366	Drosophila americana alcohol dehydrogenase (Adh) gene, exons 1, 2, and 3 and partial cds.	Drosophila americana	2006-11-14	743	2003-04-22
AF045122	72470	Drosophila lusaltans strain 14045-0891.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	Drosophila lusaltans	2006-11-14	405	1998-06-02
AY154829	7230	Drosophila mojavensis strain MJBC 35.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	Drosophila mojavensis	2005-04-16	880	2003-03-03
AY154838	7230	Drosophila mojavensis strain MJBC 202.2 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	Drosophila mojavensis	2005-04-16	880	2003-03-03
AY154870	7230	Drosophila mojavensis strain MJBC 95.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	Drosophila mojavensis	2005-04-16	879	2003-03-03
AY754433	7246	Drosophila affinis alcohol dehydrogenase-like protein (Adh-r) gene, exons 2, 3 and partial cds.	Drosophila affinis	2006-11-14	740	2005-04-04
AF348882	67534	Drosophila triauraria strain WWJ alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila triauraria	2006-11-14	667	2001-04-16
KX384731	29030	Drosophila takahashii strain IND_DT_U7 alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, partial cds.	Drosophila takahashii	2017-01-03	2658	2017-01-03
AF348883	67532	Drosophila quadraria strain NIG alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila quadraria	2006-11-14	667	2001-04-16
AB194414	186283	Drosophila parabipectinata osp, siren1, siren2, Adh, Adhr genes for hypothetical proteins, alcohol dehydrogenase, hypothetical protein, partial and complete cds.	Drosophila parabipectinata	2006-02-27	17499	2005-05-07
EU877939	7217	Drosophila ananassae isolate 17ADH ADH (adh) gene, partial cds.	Drosophila ananassae	2008-12-16	807	2008-08-06
EU877936	7217	Drosophila ananassae isolate 21ADH ADH (adh) gene, partial cds.	Drosophila ananassae	2008-12-16	824	2008-08-06
EF136977	40366	Drosophila americana isolate FP99.27 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF136982	40366	Drosophila americana isolate HI99.31 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF137002	40366	Drosophila americana isolate IR04.12 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF136979	40366	Drosophila americana isolate HI99.03 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF136974	40366	Drosophila americana isolate FP99.85 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF136989	40366	Drosophila americana isolate SB02.02 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF136998	40366	Drosophila americana isolate SB02.11 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
U64542	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS308 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3481	1996-08-16
U64550	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS333 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3484	1996-08-16
U64529	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS251 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3491	1996-08-16
U64533	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS267 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3465	1996-08-16
U64537	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS277 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3465	1996-08-16
X54120	7245	D.yakuba Adh gene for alcohol dehydrogenase and Adh-related gene	Drosophila yakuba	2006-11-14	2284	1992-04-14
U64546	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS322 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3504	1996-08-16
U64557	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS352 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3457	1996-08-16
U64539	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS295 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3489	1996-08-16
MN267997	198725	Drosophila subquinaria isolate S_PO_21 ADH-related protein (ADH-R) gene, partial cds.	Drosophila subquinaria	2019-08-23	552	2019-08-23
MN267975	55946	Drosophila recens isolate R_NB_7 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	552	2019-08-23
MN267993	198725	Drosophila subquinaria isolate S_MS_18 ADH-related protein (ADH-R) gene, partial cds.	Drosophila subquinaria	2019-08-23	552	2019-08-23
MN267999	198725	Drosophila subquinaria isolate S_PO_84 ADH-related protein (ADH-R) gene, partial cds.	Drosophila subquinaria	2019-08-23	552	2019-08-23
MN267968	55946	Drosophila recens isolate R_HI_45 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	553	2019-08-23
MN267974	55946	Drosophila recens isolate R_NB_6 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	552	2019-08-23
MN267995	198725	Drosophila subquinaria isolate S_MS_4 ADH-related protein (ADH-R) gene, partial cds.	Drosophila subquinaria	2019-08-23	552	2019-08-23
MN267970	55946	Drosophila recens isolate R_KA_174 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	552	2019-08-23
MN267979	55946	Drosophila recens isolate R_NY_18 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	552	2019-08-23
MN267987	198725	Drosophila subquinaria isolate S_HI_26 ADH-related protein (ADH-R) gene, partial cds.	Drosophila subquinaria	2019-08-23	552	2019-08-23
MN267990	198725	Drosophila subquinaria isolate S_KA_175 ADH-related protein (ADH-R) gene, partial cds.	Drosophila subquinaria	2019-08-23	552	2019-08-23
MN267996	198725	Drosophila subquinaria isolate S_PO_101 ADH-related protein (ADH-R) gene, partial cds.	Drosophila subquinaria	2019-08-23	552	2019-08-23
MN268007	193351	Drosophila transversa isolate T_UP_3 ADH-related protein (ADH-R) gene, partial cds.	Drosophila transversa	2019-08-23	552	2019-08-23
AF006567	7234	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	Drosophila persimilis	2005-04-15	3502	1997-09-11
M55545	7241	Drosophila subobscura alchohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	Drosophila subobscura	2010-12-01	3980	1992-04-30
U65746	7264	Drosophila buzzatii alcohol dehydrogenase (Adh-P) pseudogene, and alcohol dehydrogenase 2 (Adh-2) and alcohol dehydrogenase 1 (Adh-1) genes, complete cds.	Drosophila buzzatii	2005-04-18	8725	1996-10-21
AJ005667	7244	Drosophila virilis ADH gene, partial	Drosophila virilis	2005-04-15	109	1998-10-22
LC165396	1870889	Drosophila unipectinata Adh gene, partial cds.	Drosophila unipectinata	2019-06-04	549	2019-06-04
MG010087	46790	Drosophila equinoxialis Adh gene, partial cds.	Drosophila equinoxialis	2018-12-07	405	2018-11-09
M37276	7230	Drosophila mojavensis alcohol dehydrogenase-2 (Adh-2) and alcohol dehydrogenase-1 (Adh-1) genes, complete cds.	Drosophila mojavensis	2006-11-14	8783	1990-09-13
X62193	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3483	1992-10-16
X62220	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3479	1992-10-16
X62206	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16
X62228	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3464	1992-10-16
X62214	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3486	1992-10-16
X64480	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3470	1992-10-16
X62204	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16
X62199	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3475	1992-10-16
X62226	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3466	1992-10-16
X64486	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3475	1992-10-16
X62195	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16
AY081440	141217	Drosophila tripunctata alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila tripunctata	2005-04-16	217	2002-08-09
AY750123	7252	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila melanica	2006-07-20	911	2005-12-31
AY750132	55945	Drosophila euronotus alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila euronotus	2006-07-20	911	2005-12-31
AY750144	311480	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila medioconstricta	2006-07-20	911	2005-12-31
DQ471630	381452	Drosophila barutani alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila barutani	2006-07-20	711	2006-07-20
HQ631470	42026	Drosophila bipectinata alcohol dehydrogenase (adh) gene, partial cds.	Drosophila bipectinata	2012-01-02	290	2011-08-30
AF264077	7271	Drosophila nebulosa alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila nebulosa	2005-04-15	405	2000-05-30
AY006411	7235	Drosophila picticornis alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila picticornis	2005-09-26	510	2001-09-04
AY750118	311474	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila longiserrata	2006-07-20	911	2005-12-31
HQ631473	2609304	Drosophila curveadeagus alcohol dehydrogenase (adh) gene, partial cds.	Drosophila curveaedeagus (nomen nudum)	2012-01-02	290	2011-08-30
HQ631484	187394	Drosophila pulchrella alcohol dehydrogenase (adh) gene, partial cds.	Drosophila pulchrella	2012-01-02	290	2011-08-30
AF059889	7252	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila melanica	2005-04-15	290	1998-04-28
AY006409	46893	Drosophila adunca alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila adunca	2005-09-26	508	2001-09-04
AY750116	119604	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila lacertosa	2006-07-20	911	2005-12-31
AY750127	311477	Drosophila paramelanica alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila paramelanica	2006-07-20	911	2005-12-31
DQ471655	40366	Drosophila americana alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana	2006-07-20	711	2006-07-20
DQ471661	50033	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila kanekoi	2006-07-20	711	2006-07-20
DQ471667	30043	Drosophila repleta alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila repleta	2006-07-20	711	2006-07-20
HQ631471	103765	Drosophila bocki alcohol dehydrogenase (adh) gene, partial cds.	Drosophila bocki	2012-01-02	290	2011-08-30
U26839	40368	Drosophila borealis alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila borealis	2005-04-17	961	1995-06-30
U94203	58309	Drosophila petalopeza alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila petalopeza	2005-04-18	204	1998-02-23
AY006417	48320	Drosophila neoperkinsi alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila neoperkinsi	2005-09-26	510	2001-09-04
AY006413	46820	Drosophila nigribasis alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila nigribasis	2005-09-26	510	2001-09-04
AY750136	311481	Drosophila okadai alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila okadai	2006-07-20	911	2005-12-31
AY750139	55950	Drosophila sordidula alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila sordidula	2006-07-20	911	2005-12-31
GQ376035	42026	Drosophila bipectinata alcohol dehydrogenase (ADH) gene, partial cds.	Drosophila bipectinata	2009-08-03	410	2009-08-02
OP168391	7278	Drosophila bromeliae isolate Dbm_Ah Adh gene, partial cds.	Drosophila bromeliae	2023-06-15	895	2023-06-14
U90956	7284	Drosophila tristis alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila tristis	2006-11-14	428	1997-11-14
X68165	7237	Drosophila pseudoobscura Adh gene for alcohol dehydrogenase (PS314)	Drosophila pseudoobscura	2006-11-14	3460	1992-10-08
DQ471659	54075	Drosophila eohydei alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila eohydei	2006-07-20	711	2006-07-20
AY750130	311476	Drosophila neokadai alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila neokadai	2006-07-20	911	2005-12-31
GQ376034	65964	Drosophila pseudoananassae alcohol dehydrogenase (ADH) gene, partial cds.	Drosophila pseudoananassae	2009-08-03	410	2009-08-02
OP168475	7278	Drosophila bromeliae isolate Dbm_4610 Adh gene, partial cds.	Drosophila bromeliae	2023-06-15	780	2023-06-14
AB261136	88884	Drosophila pallidifrons Adh gene for alcohol dehydrogenase, partial cds.	Drosophila pallidifrons	2007-11-03	861	2007-11-03
AB932648	188282	Drosophila bizonata Adh gene for alcohol dehydrogenase, partial cds.	Drosophila bizonata	2015-01-14	844	2015-01-14
AB932662	1503162	Drosophila multispina Adh gene for alcohol dehydrogenase, partial cds.	Drosophila multispina	2014-10-26	852	2014-10-26
LC165378	103775	Drosophila gunungcola Adh gene, partial cds, strain: GNL MTK.	Drosophila gunungcola	2019-06-04	554	2019-06-04
AB932646	309934	Drosophila angularis Adh gene for alcohol dehydrogenase, partial cds.	Drosophila angularis	2014-10-26	840	2014-10-26
LC165382	44481	Drosophila imaii Adh gene, partial cds, strain: imaii-HUE.	Drosophila imaii	2019-06-04	547	2019-06-04
U26842	40370	Drosophila montana alcohol dehydrogenase (Adh-1) gene, complete cds.	Drosophila montana	2005-04-17	957	1995-06-22
X57374	7245	Drosophila yakuba (individual j) Adh gene for alcohol dehydrogenase	Drosophila yakuba	2006-11-14	975	1991-07-17
AB261135	157059	Drosophila siamana Adh gene for alcohol dehydrogenase, partial cds.	Drosophila siamana	2007-11-03	855	2007-11-03
AB932678	193351	Drosophila transversa Adh gene for alcohol dehydrogenase, partial cds.	Drosophila transversa	2014-10-26	839	2014-10-26
AH000980	7227	Drosophila melanogaster alcohol dehydrogenase (ADH-71k) gene, complete cds.	Drosophila melanogaster	2016-06-13	2474	2016-06-13
U95266	7260	Drosophila willistoni PA2 alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila willistoni	2005-04-18	1159	1999-01-06
AB932664	198721	Drosophila nigromaculata Adh gene for alcohol dehydrogenase, partial cds.	Drosophila nigromaculata	2015-01-14	849	2015-01-14
AB932679	141217	Drosophila tripunctata Adh gene for alcohol dehydrogenase, partial cds.	Drosophila tripunctata	2014-10-26	836	2014-10-26
AB932680	193352	Drosophila unispina Adh gene for alcohol dehydrogenase, partial cds.	Drosophila unispina	2015-01-14	848	2015-01-14
X60793	7227	D.melanogaster (strain NC16) Adh gene for alcohol dehydrogenase	Drosophila melanogaster	2006-11-14	2763	1991-10-07
U95260	7260	Drosophila willistoni Lima alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila willistoni	2005-04-18	1172	1999-01-06
X57372	7245	Drosophila yakuba (individual h) Adh gene for alcohol dehydrogenase	Drosophila yakuba	2006-11-14	975	1991-07-17
X57376	7245	Drosophila yakuba (individual l) Adh gene for alcohol dehydrogenase	Drosophila yakuba	2006-11-14	975	1991-07-17
AY156525	7232	Drosophila navojoa alcohol dehydrogenase 2 (adh-2) gene, complete cds.	Drosophila navojoa	2005-04-16	878	2003-03-03
LC165371	7216	Drosophila ambigua Adh gene, partial cds, strain: 14013-1011.00.	Drosophila ambigua	2019-06-04	557	2019-06-04
M60980	7237	Drosophila pseudoobscura (strain AH54) alcohol dehydrogenase (adh) gene, complete cds.	Drosophila pseudoobscura	2006-11-14	3476	1992-01-26
EU532128	46793	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila paulistorum	2010-01-21	562	2010-01-21
HQ110512	30039	Drosophila neocordata isolate D_neoc_c1 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila neocordata	2011-06-02	830	2011-05-06
HQ110514	30039	Drosophila neocordata isolate D_neoc_c3 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila neocordata	2011-06-02	819	2011-05-06
HQ110515	30042	Drosophila prosaltans isolate D_pros_c1 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila prosaltans	2011-06-02	859	2011-05-06
LC165377	7266	Drosophila guanche Adh gene, partial cds, strain: 14011-0095.00.	Drosophila guanche	2019-06-04	342	2019-06-04
LC165392	7273	Drosophila saltans Adh gene, partial cds, strain: 14045-0911.00.	Drosophila saltans	2019-06-04	558	2019-06-04
M60981	7237	Drosophila pseudoobscura (strain AH69) alcohol dehydrogenase (adh) gene, complete cds.	Drosophila pseudoobscura	2006-11-14	3475	1992-01-26
M60985	7237	Drosophila pseudoobscura (strain AH135) alcohol dehydrogenase (adh) gene, complete cds.	Drosophila pseudoobscura	2006-11-14	3465	1992-04-30
AY095943	126591	Drosophila curvispina isolate cur3 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila curvispina	2008-12-16	443	2003-05-01
AY335198	7273	Drosophila saltans clone Dsalt2L alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila saltans	2005-04-16	854	2003-12-31
DQ471613	381448	Drosophila angor strain B123 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila angor	2006-07-20	711	2006-07-20
DQ471644	381452	Drosophila barutani strain 178 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila barutani	2006-07-20	711	2006-07-20
DQ471653	50033	Drosophila kanekoi strain 248 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila kanekoi	2006-07-20	711	2006-07-20
DQ471654	65966	Drosophila tsigana strain JP275 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila tsigana	2006-07-20	711	2006-07-20
EU532129	46793	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila paulistorum	2010-01-21	558	2010-01-21
M60988	7237	Drosophila pseudoobscura (strain AH165) alcohol dehydrogenase (adh) gene, complete cds.	Drosophila pseudoobscura	2006-11-14	3467	1992-04-30
U95258	7260	Drosophila willistoni Cano Mora alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila willistoni	2005-04-18	1172	1999-01-06
AF284481	7238	Drosophila sechellia strain SS77 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila sechellia	2006-11-14	700	2000-11-02
AY095938	193351	Drosophila transversa isolate tra2 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila transversa	2008-12-16	437	2003-05-01
DQ471628	381448	Drosophila angor strain Taiwan alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila angor	2006-07-20	711	2006-07-20
MK017201	309934	UNVERIFIED: Drosophila angularis adh-related-like (Adhr) gene, partial sequence.	Drosophila angularis	2018-12-05	495	2018-12-05
AB669850	137355	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L76.	Drosophila burlai	2014-01-02	833	2014-01-02
AB669859	103765	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: A126.	Drosophila bocki	2014-01-02	831	2014-01-02
AF136695	95109	Drosophila americana americana G96.14Y alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
LC057782	7291	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: MMY1.	Drosophila albomicans	2015-06-26	851	2015-06-26
LC057784	7291	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TAK2.	Drosophila albomicans	2015-06-26	851	2015-06-26
LC057786	7291	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TSN7.	Drosophila albomicans	2015-06-26	851	2015-06-26
U95271	46793	Drosophila paulistorum Andean-Brazilian, ABM alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila paulistorum	2005-04-18	1167	1999-01-06
AF136667	95109	Drosophila americana americana G96.33X alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF136699	40372	Drosophila americana texana LP97.01 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana texana	2005-04-15	884	1999-06-03
AF459763	94109	Drosophila watanabei alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila watanabei	2006-11-14	290	2002-05-16
AF459771	30033	Drosophila kikkawai alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila kikkawai	2006-11-14	290	2002-05-16
LC057205	1660393	Drosophila sp. XT-32 Adh gene for alcohol dehydrogenase, partial cds.	Drosophila sp. XT-32	2019-06-04	836	2019-06-04
LC057774	7291	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: CM137.	Drosophila albomicans	2015-06-26	851	2015-06-26
LC057783	7291	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: NG3.	Drosophila albomicans	2015-06-26	851	2015-06-26
LC057785	7291	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TOK5.	Drosophila albomicans	2015-06-26	851	2015-06-26
LC057796	42062	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: I7.	Drosophila nasuta	2015-06-26	851	2015-06-26
LC057798	42062	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: M22.	Drosophila nasuta	2015-06-26	851	2015-06-26
LC057799	42062	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: MS77.	Drosophila nasuta	2015-06-26	851	2015-06-26
LC165379	77129	Drosophila helvetica Adh gene, partial cds, strain: YAT-hel-7.15.	Drosophila helvetica	2019-06-04	551	2019-06-04
AB669824	154832	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: TKNM1.	Drosophila asahinai	2014-01-02	839	2014-01-02
AB669834	67533	Drosophila rufa Adh gene for alcohol dehydrogenase, partial cds, strain: EH091.	Drosophila rufa	2014-01-02	838	2014-01-02
AB669882	112146	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG1.	Drosophila bicornuta	2014-01-02	838	2014-01-02
AF136661	95109	Drosophila americana americana G96.48X alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF136668	95109	Drosophila americana americana G96.21X alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF136694	95109	Drosophila americana americana G96.11Y alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF459753	125945	Drosophila biarmipes alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila biarmipes	2006-11-14	290	2002-05-16
